H काल काल NP NNP NP k7t VGF ; H चुना चुन VGF VM VGF NULL ROOT ; R ; k7t 
H वर्ष वर्ष NP NN NP2 k7t VGF2 ; H हैं है VGF VM VGF2 nmod__relc NP5 ; R ; k7t 
H ये यह NP PRP NP3 ccof CCP2 ; H और और CCP CC CCP2 k1 VGF2 ; R ; ccof 
H और और CCP CC CCP2 k1 VGF2 ; H हैं है VGF VM VGF2 nmod__relc NP5 ; R ; k1 
H और और CCP CC CCP2 k1 VGF2 ; H मामले मामला NP NN NP4 ccof CCP2 ; L ; ccof 
H विचाराधीन विचाराधीन JJP JJ JJP k1s VGF2 ; H हैं है VGF VM VGF2 nmod__relc NP5 ; R ; k1s 
H हैं है VGF VM VGF2 nmod__relc NP5 ; H उनसे वह NP PRP NP5 k5 VGF3 ; R ; nmod__relc 
H उनसे वह NP PRP NP5 k5 VGF3 ; H है है VGF VM VGF3 ccof CCP ; R ; k5 
H रुपये रुपया NP NN NP6 r6 NP7 ; H उगाही उगाही NP NN NP7 r6 NP8 ; R ; r6 
H उगाही उगाही NP NN NP7 r6 NP8 ; H उम्मीद उम्मीद NP NN NP8 k1 VGF3 ; R ; r6 
H उम्मीद उम्मीद NP NN NP8 k1 VGF3 ; H है है VGF VM VGF3 ccof CCP ; R ; k1 
H कि कि CCP CC CCP k2 VGF ; H है है VGF VM VGF3 ccof CCP ; L ; ccof 
H कहा कह VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H वर्ष वर्ष NP NN NP2 k7t VGF2  ;  H विचाराधीन विचाराधीन JJP JJ JJP k1s VGF2  ;  U ;  NULL
H वर्ष वर्ष NP NN NP2 k7t VGF2  ;  H ये यह NP PRP NP3 ccof CCP2  ;  U ;  NULL
H और और CCP CC CCP2 k1 VGF2  ;  H विचाराधीन विचाराधीन JJP JJ JJP k1s VGF2  ;  U ;  NULL
H उनसे वह NP PRP NP5 k5 VGF3  ;  H उम्मीद उम्मीद NP NN NP8 k1 VGF3  ;  U ;  NULL
H उनसे वह NP PRP NP5 k5 VGF3  ;  H रुपये रुपया NP NN NP6 r6 NP7  ;  U ;  NULL
H वर्ष वर्ष NP NN NP2 k7t VGF2  ;  H है है VGF VM VGF3 ccof CCP  ;  U ;  NULL
H उगाही उगाही NP NN NP7 r6 NP8  ;  H है है VGF VM VGF3 ccof CCP  ;  U ;  NULL
H है है VGF VM VGF3 ccof CCP  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H उम्मीद उम्मीद NP NN NP8 k1 VGF3  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H चिदंबरम चिदंबरम NP NNP NP k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H कि कि CCP CC CCP k2 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H है है VGF VM VGF3 ccof CCP  ;  U ;  NULL
ROOT  ;  H उम्मीद उम्मीद NP NN NP8 k1 VGF3  ;  U ;  NULL
ROOT  ;  H चिदंबरम चिदंबरम NP NNP NP k1 VGF  ;  U ;  NULL
ROOT  ;  H कि कि CCP CC CCP k2 VGF  ;  U ;  NULL
H मंत्री मंत्री NP NNP NP k1 VGF ; H कहा कह VGF VM VGF NULL ROOT ; R ; k1 
ROOT ; H कहा कह VGF VM VGF NULL ROOT ; L ; ROOT 
H कहा कह VGF VM VGF NULL ROOT ; H कि कि CCP CC CCP k2 VGF ; L ; k2 
H निजीकरण निजीकरण NP NN NP2 vmod VGF2 ; H है है VGF VM VGF2 ccof CCP ; R ; vmod 
H सरकार सरकार NP NN NP3 k1 VGF2 ; H है है VGF VM VGF2 ccof CCP ; R ; k1 
H क्षेत्र क्षेत्र NP NN NP4 r6 NP5 ; H उपक्रमों उपक्रम NP NN NP5 k7 VGNN ; R ; r6 
H उपक्रमों उपक्रम NP NN NP5 k7 VGNN ; H रखने रख VGNN VM VGNN rd VGF2 ; R ; k7 
H अपना अपना NP PRP NP6 r6-k2 NP7 ; H नियंत्रण नियंत्रण NP NN NP7 pof VGNN ; R ; r6-k2 
H नियंत्रण नियंत्रण NP NN NP7 pof VGNN ; H रखने रख VGNN VM VGNN rd VGF2 ; R ; pof 
H रखने रख VGNN VM VGNN rd VGF2 ; H है है VGF VM VGF2 ccof CCP ; R ; rd 
H दृढ़ दृढ़ JJP JJ JJP k1s VGF2 ; H है है VGF VM VGF2 ccof CCP ; R ; k1s 
H कि कि CCP CC CCP k2 VGF ; H है है VGF VM VGF2 ccof CCP ; L ; ccof 
H कहा कह VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H निजीकरण निजीकरण NP NN NP2 vmod VGF2  ;  H दृढ़ दृढ़ JJP JJ JJP k1s VGF2  ;  U ;  NULL
H निजीकरण निजीकरण NP NN NP2 vmod VGF2  ;  H सरकार सरकार NP NN NP3 k1 VGF2  ;  U ;  NULL
H सरकार सरकार NP NN NP3 k1 VGF2  ;  H दृढ़ दृढ़ JJP JJ JJP k1s VGF2  ;  U ;  NULL
H सरकार सरकार NP NN NP3 k1 VGF2  ;  H क्षेत्र क्षेत्र NP NN NP4 r6 NP5  ;  U ;  NULL
H उपक्रमों उपक्रम NP NN NP5 k7 VGNN  ;  H अपना अपना NP PRP NP6 r6-k2 NP7  ;  U ;  NULL
H रखने रख VGNN VM VGNN rd VGF2  ;  H दृढ़ दृढ़ JJP JJ JJP k1s VGF2  ;  U ;  NULL
H नियंत्रण नियंत्रण NP NN NP7 pof VGNN  ;  H है है VGF VM VGF2 ccof CCP  ;  U ;  NULL
H अपना अपना NP PRP NP6 r6-k2 NP7  ;  H है है VGF VM VGF2 ccof CCP  ;  U ;  NULL
H है है VGF VM VGF2 ccof CCP  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H दृढ़ दृढ़ JJP JJ JJP k1s VGF2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H मंत्री मंत्री NP NNP NP k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H कि कि CCP CC CCP k2 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H है है VGF VM VGF2 ccof CCP  ;  U ;  NULL
ROOT  ;  H दृढ़ दृढ़ JJP JJ JJP k1s VGF2  ;  U ;  NULL
ROOT  ;  H मंत्री मंत्री NP NNP NP k1 VGF  ;  U ;  NULL
ROOT  ;  H कि कि CCP CC CCP k2 VGF  ;  U ;  NULL
H उन्होंने वह NP PRP NP k1 VGF ; H कहा कह VGF VM VGF NULL ROOT ; R ; k1 
ROOT ; H कहा कह VGF VM VGF NULL ROOT ; L ; ROOT 
H कहा कह VGF VM VGF NULL ROOT ; H कि कि CCP CC CCP k2 VGF ; L ; k2 
H जहाँ जहाँ NP PRP NP2 k7t VGF2 ; H है है VGF VM VGF2 ccof CCP2 ; R ; k7t 
H पीएसयू पीएसयू NP NN NP3 k7 VGF2 ; H है है VGF VM VGF2 ccof CCP2 ; R ; k7 
H नियंत्रण नियंत्रण NP NN NP4 k1 VGF2 ; H है है VGF VM VGF2 ccof CCP2 ; R ; k1 
H क़ायम कायम JJP JJ JJP k1s VGF2 ; H है है VGF VM VGF2 ccof CCP2 ; R ; k1s 
H है है VGF VM VGF2 ccof CCP2 ; H और और CCP CC CCP2 ccof CCP ; R ; ccof 
H कि कि CCP CC CCP k2 VGF ; H और और CCP CC CCP2 ccof CCP ; L ; ccof 
H क्षेत्र क्षेत्र NP NN NP5 r6 NP6 ; H विशेषताओं विशेषता NP NN NP6 k7 VGF3 ; R ; r6 
H विशेषताओं विशेषता NP NN NP6 k7 VGF3 ; H पड़ता पड़ VGF VM VGF3 ccof CCP2 ; R ; k7 
H असर असर NP NN NP7 pof VGF3 ; H पड़ता पड़ VGF VM VGF3 ccof CCP2 ; R ; pof 
H और और CCP CC CCP2 ccof CCP ; H पड़ता पड़ VGF VM VGF3 ccof CCP2 ; L ; ccof 
H कहा कह VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H जहाँ जहाँ NP PRP NP2 k7t VGF2  ;  H क़ायम कायम JJP JJ JJP k1s VGF2  ;  U ;  NULL
H जहाँ जहाँ NP PRP NP2 k7t VGF2  ;  H पीएसयू पीएसयू NP NN NP3 k7 VGF2  ;  U ;  NULL
H पीएसयू पीएसयू NP NN NP3 k7 VGF2  ;  H नियंत्रण नियंत्रण NP NN NP4 k1 VGF2  ;  U ;  NULL
H नियंत्रण नियंत्रण NP NN NP4 k1 VGF2  ;  H क़ायम कायम JJP JJ JJP k1s VGF2  ;  U ;  NULL
H जहाँ जहाँ NP PRP NP2 k7t VGF2  ;  H और और CCP CC CCP2 ccof CCP  ;  U ;  NULL
H क़ायम कायम JJP JJ JJP k1s VGF2  ;  H और और CCP CC CCP2 ccof CCP  ;  U ;  NULL
H विशेषताओं विशेषता NP NN NP6 k7 VGF3  ;  H असर असर NP NN NP7 pof VGF3  ;  U ;  NULL
H क्षेत्र क्षेत्र NP NN NP5 r6 NP6  ;  H पड़ता पड़ VGF VM VGF3 ccof CCP2  ;  U ;  NULL
H पड़ता पड़ VGF VM VGF3 ccof CCP2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H असर असर NP NN NP7 pof VGF3  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H उन्होंने वह NP PRP NP k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H कि कि CCP CC CCP k2 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H पड़ता पड़ VGF VM VGF3 ccof CCP2  ;  U ;  NULL
ROOT  ;  H असर असर NP NN NP7 pof VGF3  ;  U ;  NULL
ROOT  ;  H उन्होंने वह NP PRP NP k1 VGF  ;  U ;  NULL
ROOT  ;  H कि कि CCP CC CCP k2 VGF  ;  U ;  NULL
H सरकार सरकार NP NN NP k1 VGF ; H बनाएगी बना VGF VM VGF NULL ROOT ; R ; k1 
H अपने अपना NP PRP NP2 r6 NP3 ; H हिस्से हिस्सा NP NN NP3 r6 NP4 ; R ; r6 
H हिस्से हिस्सा NP NN NP3 r6 NP4 ; H शेयरों शेयर NP NN NP4 k3 VGF ; R ; r6 
H शेयरों शेयर NP NN NP4 k3 VGF ; H बनाएगी बना VGF VM VGF NULL ROOT ; R ; k3 
H लोगों लोग NP NN NP5 r6 NP6 ; H आवश्यकताओं आवश्यकता NP NN NP6 rt VGF ; R ; r6 
H आवश्यकताओं आवश्यकता NP NN NP6 rt VGF ; H बनाएगी बना VGF VM VGF NULL ROOT ; R ; rt 
H सूत्र सूत्र NP NN NP7 k2 VGF ; H बनाएगी बना VGF VM VGF NULL ROOT ; R ; k2 
ROOT ; H बनाएगी बना VGF VM VGF NULL ROOT ; L ; ROOT 
H बनाएगी बना VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H सरकार सरकार NP NN NP k1 VGF  ;  H सूत्र सूत्र NP NN NP7 k2 VGF  ;  U ;  NULL
H सरकार सरकार NP NN NP k1 VGF  ;  H अपने अपना NP PRP NP2 r6 NP3  ;  U ;  NULL
H शेयरों शेयर NP NN NP4 k3 VGF  ;  H सूत्र सूत्र NP NN NP7 k2 VGF  ;  U ;  NULL
H शेयरों शेयर NP NN NP4 k3 VGF  ;  H लोगों लोग NP NN NP5 r6 NP6  ;  U ;  NULL
H आवश्यकताओं आवश्यकता NP NN NP6 rt VGF  ;  H सूत्र सूत्र NP NN NP7 k2 VGF  ;  U ;  NULL
H लोगों लोग NP NN NP5 r6 NP6  ;  H बनाएगी बना VGF VM VGF NULL ROOT  ;  U ;  NULL
H हिस्से हिस्सा NP NN NP3 r6 NP4  ;  H बनाएगी बना VGF VM VGF NULL ROOT  ;  U ;  NULL
H अपने अपना NP PRP NP2 r6 NP3  ;  H बनाएगी बना VGF VM VGF NULL ROOT  ;  U ;  NULL
H सूत्र सूत्र NP NN NP7 k2 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H आवश्यकताओं आवश्यकता NP NN NP6 rt VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H सरकार सरकार NP NN NP k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H अपने अपना NP PRP NP2 r6 NP3  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H सूत्र सूत्र NP NN NP7 k2 VGF  ;  U ;  NULL
ROOT  ;  H आवश्यकताओं आवश्यकता NP NN NP6 rt VGF  ;  U ;  NULL
ROOT  ;  H सरकार सरकार NP NN NP k1 VGF  ;  U ;  NULL
ROOT  ;  H अपने अपना NP PRP NP2 r6 NP3  ;  U ;  NULL
H एंटीबायोटिक्स एंटीबायोटिक्स NP NNP NP k4 VGF ; H दी दे VGF VM VGF ccof CCP ; R ; k4 
H पुनर्गठन पुनर्गठन NP NN NP2 k7 VGF ; H दी दे VGF VM VGF ccof CCP ; R ; k7 
H सहायता सहायता NP NN NP3 k2 VGF ; H दी दे VGF VM VGF ccof CCP ; R ; k2 
H दी दे VGF VM VGF ccof CCP ; H जबकि जबकि CCP CC CCP NULL ROOT ; R ; ccof 
ROOT ; H जबकि जबकि CCP CC CCP NULL ROOT ; L ; ROOT 
H आईटीआई आईटीआई NP NNP NP4 k2 VGNN ; H बचाने बचा VGNN VM VGNN rt VGF2 ; R ; k2 
H बचाने बचा VGNN VM VGNN rt VGF2 ; H दी दे VGF VM VGF2 ccof CCP ; R ; rt 
H रुपए रुपया NP NN NP5 r6 NP6 ; H सहायता सहायता NP NN NP6 k2 VGF2 ; R ; r6 
H सहायता सहायता NP NN NP6 k2 VGF2 ; H दी दे VGF VM VGF2 ccof CCP ; R ; k2 
H जबकि जबकि CCP CC CCP NULL ROOT ; H दी दे VGF VM VGF2 ccof CCP ; L ; ccof 
H जबकि जबकि CCP CC CCP NULL ROOT ; H । । BLK SYM BLK rsym CCP ; L ; rsym 
H एंटीबायोटिक्स एंटीबायोटिक्स NP NNP NP k4 VGF  ;  H पुनर्गठन पुनर्गठन NP NN NP2 k7 VGF  ;  U ;  NULL
H पुनर्गठन पुनर्गठन NP NN NP2 k7 VGF  ;  H सहायता सहायता NP NN NP3 k2 VGF  ;  U ;  NULL
H सहायता सहायता NP NN NP3 k2 VGF  ;  H जबकि जबकि CCP CC CCP NULL ROOT  ;  U ;  NULL
H पुनर्गठन पुनर्गठन NP NN NP2 k7 VGF  ;  H जबकि जबकि CCP CC CCP NULL ROOT  ;  U ;  NULL
H एंटीबायोटिक्स एंटीबायोटिक्स NP NNP NP k4 VGF  ;  H जबकि जबकि CCP CC CCP NULL ROOT  ;  U ;  NULL
H बचाने बचा VGNN VM VGNN rt VGF2  ;  H रुपए रुपया NP NN NP5 r6 NP6  ;  U ;  NULL
H आईटीआई आईटीआई NP NNP NP4 k2 VGNN  ;  H दी दे VGF VM VGF2 ccof CCP  ;  U ;  NULL
H रुपए रुपया NP NN NP5 r6 NP6  ;  H दी दे VGF VM VGF2 ccof CCP  ;  U ;  NULL
H दी दे VGF VM VGF2 ccof CCP  ;  H । । BLK SYM BLK rsym CCP  ;  U ;  NULL
H सहायता सहायता NP NN NP6 k2 VGF2  ;  H । । BLK SYM BLK rsym CCP  ;  U ;  NULL
H एंटीबायोटिक्स एंटीबायोटिक्स NP NNP NP k4 VGF  ;  H । । BLK SYM BLK rsym CCP  ;  U ;  NULL
H पुनर्गठन पुनर्गठन NP NN NP2 k7 VGF  ;  H । । BLK SYM BLK rsym CCP  ;  U ;  NULL
ROOT  ;  H दी दे VGF VM VGF2 ccof CCP  ;  U ;  NULL
ROOT  ;  H सहायता सहायता NP NN NP6 k2 VGF2  ;  U ;  NULL
ROOT  ;  H एंटीबायोटिक्स एंटीबायोटिक्स NP NNP NP k4 VGF  ;  U ;  NULL
ROOT  ;  H पुनर्गठन पुनर्गठन NP NN NP2 k7 VGF  ;  U ;  NULL
H चिदंबरम् चिदंबरम् NP NNP NP k1 VGF ; H किया कर VGF VM VGF NULL ROOT ; R ; k1 
H वर्ष वर्ष NP NN NP2 rt VGF ; H किया कर VGF VM VGF NULL ROOT ; R ; rt 
H रेलवे रेलवे NP NN NP3 vmod VGNN ; H देने दे VGNN VM VGNN r6-k2 NP10 ; R ; vmod 
H क्षेत्र क्षेत्र NP NN NP4 r6 NP5 ; H उपक्रमों उपक्रम NP NN NP5 rt VGNN ; R ; r6 
H उपक्रमों उपक्रम NP NN NP5 rt VGNN ; H देने दे VGNN VM VGNN r6-k2 NP10 ; R ; rt 
H रुपए रुपया NP NN NP6 r6 NP7 ; H सहायता सहायता NP NN NP7 ccof CCP ; R ; r6 
H सहायता सहायता NP NN NP7 ccof CCP ; H और और CCP CC CCP k2 VGNN ; R ; ccof 
H और और CCP CC CCP k2 VGNN ; H देने दे VGNN VM VGNN r6-k2 NP10 ; R ; k2 
H करोड़ करोड NP QC NP8 r6 NP9 ; H ऋण ऋण NP NN NP9 ccof CCP ; R ; r6 
H और और CCP CC CCP k2 VGNN ; H ऋण ऋण NP NN NP9 ccof CCP ; L ; ccof 
H देने दे VGNN VM VGNN r6-k2 NP10 ; H ऐलान ऐलान NP NN NP10 pof VGF ; R ; r6-k2 
H ऐलान ऐलान NP NN NP10 pof VGF ; H किया कर VGF VM VGF NULL ROOT ; R ; pof 
ROOT ; H किया कर VGF VM VGF NULL ROOT ; L ; ROOT 
H किया कर VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H चिदंबरम् चिदंबरम् NP NNP NP k1 VGF  ;  H ऐलान ऐलान NP NN NP10 pof VGF  ;  U ;  NULL
H चिदंबरम् चिदंबरम् NP NNP NP k1 VGF  ;  H वर्ष वर्ष NP NN NP2 rt VGF  ;  U ;  NULL
H वर्ष वर्ष NP NN NP2 rt VGF  ;  H ऐलान ऐलान NP NN NP10 pof VGF  ;  U ;  NULL
H वर्ष वर्ष NP NN NP2 rt VGF  ;  H रेलवे रेलवे NP NN NP3 vmod VGNN  ;  U ;  NULL
H रेलवे रेलवे NP NN NP3 vmod VGNN  ;  H ऋण ऋण NP NN NP9 ccof CCP  ;  U ;  NULL
H रेलवे रेलवे NP NN NP3 vmod VGNN  ;  H क्षेत्र क्षेत्र NP NN NP4 r6 NP5  ;  U ;  NULL
H उपक्रमों उपक्रम NP NN NP5 rt VGNN  ;  H ऋण ऋण NP NN NP9 ccof CCP  ;  U ;  NULL
H उपक्रमों उपक्रम NP NN NP5 rt VGNN  ;  H रुपए रुपया NP NN NP6 r6 NP7  ;  U ;  NULL
H और और CCP CC CCP k2 VGNN  ;  H करोड़ करोड NP QC NP8 r6 NP9  ;  U ;  NULL
H देने दे VGNN VM VGNN r6-k2 NP10  ;  H किया कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H ऋण ऋण NP NN NP9 ccof CCP  ;  H किया कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H रेलवे रेलवे NP NN NP3 vmod VGNN  ;  H किया कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H क्षेत्र क्षेत्र NP NN NP4 r6 NP5  ;  H किया कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H ऐलान ऐलान NP NN NP10 pof VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H देने दे VGNN VM VGNN r6-k2 NP10  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H चिदंबरम् चिदंबरम् NP NNP NP k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H वर्ष वर्ष NP NN NP2 rt VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H ऐलान ऐलान NP NN NP10 pof VGF  ;  U ;  NULL
ROOT  ;  H देने दे VGNN VM VGNN r6-k2 NP10  ;  U ;  NULL
ROOT  ;  H चिदंबरम् चिदंबरम् NP NNP NP k1 VGF  ;  U ;  NULL
ROOT  ;  H वर्ष वर्ष NP NN NP2 rt VGF  ;  U ;  NULL
H उन्होंने वह NP PRP NP k1 VGF ; H बताया बता VGF VM VGF NULL ROOT ; R ; k1 
ROOT ; H बताया बता VGF VM VGF NULL ROOT ; L ; ROOT 
H बताया बता VGF VM VGF NULL ROOT ; H कि कि CCP CC CCP k2 VGF ; L ; k2 
H ऊर्जा ऊर्जा NP NN NP2 ccof CCP2 ; H और और CCP CC CCP2 k7a VGNN ; R ; ccof 
H दूरसंचार दूरसंचार NP NN NP3 ccof CCP2 ; H और और CCP CC CCP2 k7a VGNN ; R ; ccof 
H रेलवे रेलवे NP NN NP4 ccof CCP2 ; H और और CCP CC CCP2 k7a VGNN ; R ; ccof 
H सड़कें सड़क NP NN NP5 ccof CCP2 ; H और और CCP CC CCP2 k7a VGNN ; R ; ccof 
H पेट्रोलियम पेट्रोलियम NP NN NP6 ccof CCP2 ; H और और CCP CC CCP2 k7a VGNN ; R ; ccof 
H कोयला कोयला NP NN NP7 ccof CCP2 ; H और और CCP CC CCP2 k7a VGNN ; R ; ccof 
H और और CCP CC CCP2 k7a VGNN ; H आने आ VGNN VM VGNN nmod NP9 ; R ; k7a 
H और और CCP CC CCP2 k7a VGNN ; H उड्डयन उड्डयन NP NN NP8 ccof CCP2 ; L ; ccof 
H आने आ VGNN VM VGNN nmod NP9 ; H क्षेत्र क्षेत्र NP NN NP9 r6 NP10 ; R ; nmod 
H क्षेत्र क्षेत्र NP NN NP9 r6 NP10 ; H उपक्रमों उपक्रम NP NN NP10 rt VGF2 ; R ; r6 
H उपक्रमों उपक्रम NP NN NP10 rt VGF2 ; H किए कर VGF VM VGF2 ccof CCP ; R ; rt 
H निवेश निवेश NP NN NP11 pof VGF2 ; H किए कर VGF VM VGF2 ccof CCP ; R ; pof 
H कि कि CCP CC CCP k2 VGF ; H किए कर VGF VM VGF2 ccof CCP ; L ; ccof 
H बताया बता VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H ऊर्जा ऊर्जा NP NN NP2 ccof CCP2  ;  H कोयला कोयला NP NN NP7 ccof CCP2  ;  U ;  NULL
H ऊर्जा ऊर्जा NP NN NP2 ccof CCP2  ;  H दूरसंचार दूरसंचार NP NN NP3 ccof CCP2  ;  U ;  NULL
H दूरसंचार दूरसंचार NP NN NP3 ccof CCP2  ;  H कोयला कोयला NP NN NP7 ccof CCP2  ;  U ;  NULL
H दूरसंचार दूरसंचार NP NN NP3 ccof CCP2  ;  H रेलवे रेलवे NP NN NP4 ccof CCP2  ;  U ;  NULL
H रेलवे रेलवे NP NN NP4 ccof CCP2  ;  H कोयला कोयला NP NN NP7 ccof CCP2  ;  U ;  NULL
H रेलवे रेलवे NP NN NP4 ccof CCP2  ;  H सड़कें सड़क NP NN NP5 ccof CCP2  ;  U ;  NULL
H सड़कें सड़क NP NN NP5 ccof CCP2  ;  H पेट्रोलियम पेट्रोलियम NP NN NP6 ccof CCP2  ;  U ;  NULL
H पेट्रोलियम पेट्रोलियम NP NN NP6 ccof CCP2  ;  H कोयला कोयला NP NN NP7 ccof CCP2  ;  U ;  NULL
H उपक्रमों उपक्रम NP NN NP10 rt VGF2  ;  H निवेश निवेश NP NN NP11 pof VGF2  ;  U ;  NULL
H ऊर्जा ऊर्जा NP NN NP2 ccof CCP2  ;  H किए कर VGF VM VGF2 ccof CCP  ;  U ;  NULL
H क्षेत्र क्षेत्र NP NN NP9 r6 NP10  ;  H किए कर VGF VM VGF2 ccof CCP  ;  U ;  NULL
H किए कर VGF VM VGF2 ccof CCP  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H निवेश निवेश NP NN NP11 pof VGF2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H उन्होंने वह NP PRP NP k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H कि कि CCP CC CCP k2 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H किए कर VGF VM VGF2 ccof CCP  ;  U ;  NULL
ROOT  ;  H निवेश निवेश NP NN NP11 pof VGF2  ;  U ;  NULL
ROOT  ;  H उन्होंने वह NP PRP NP k1 VGF  ;  U ;  NULL
ROOT  ;  H कि कि CCP CC CCP k2 VGF  ;  U ;  NULL
H विनिवेश विनिवेश NP NN NP k5 VGNN ; H मिलने मिल VGNN VM VGNN nmod NP2 ; R ; k5 
H मिलने मिल VGNN VM VGNN nmod NP2 ; H धन धन NP NN NP2 r6 NP3 ; R ; nmod 
H धन धन NP NN NP2 r6 NP3 ; H इस्तेमाल इस्तेमाल NP NN NP3 k7 VGF ; R ; r6 
H इस्तेमाल इस्तेमाल NP NN NP3 k7 VGF ; H कहा कह VGF VM VGF NULL ROOT ; R ; k7 
H मंत्री मंत्री NP NNP NP4 k1 VGF ; H कहा कह VGF VM VGF NULL ROOT ; R ; k1 
ROOT ; H कहा कह VGF VM VGF NULL ROOT ; L ; ROOT 
H कहा कह VGF VM VGF NULL ROOT ; H कि कि CCP CC CCP k2 VGF ; L ; k2 
H विनिवेश विनिवेश NP NN NP5 k5 VGNN2 ; H मिलने मिल VGNN VM VGNN2 nmod NP6 ; R ; k5 
H मिलने मिल VGNN VM VGNN2 nmod NP6 ; H राजस्व राजस्व NP NN NP6 k1 VGF2 ; R ; nmod 
H राजस्व राजस्व NP NN NP6 k1 VGF2 ; H होगा हो VGF VM VGF2 ccof CCP ; R ; k1 
H सरकार सरकार NP NNP NP7 r6 NP8 ; H कोष कोष NP NN NP8 r6 NP9 ; R ; r6 
H कोष कोष NP NN NP8 r6 NP9 ; H हिस्सा हिस्सा NP NN NP9 k1s VGF2 ; R ; r6 
H हिस्सा हिस्सा NP NN NP9 k1s VGF2 ; H होगा हो VGF VM VGF2 ccof CCP ; R ; k1s 
H कि कि CCP CC CCP k2 VGF ; H होगा हो VGF VM VGF2 ccof CCP ; L ; ccof 
H कहा कह VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H इस्तेमाल इस्तेमाल NP NN NP3 k7 VGF  ;  H मंत्री मंत्री NP NNP NP4 k1 VGF  ;  U ;  NULL
H धन धन NP NN NP2 r6 NP3  ;  H कहा कह VGF VM VGF NULL ROOT  ;  U ;  NULL
H मिलने मिल VGNN VM VGNN nmod NP2  ;  H कहा कह VGF VM VGF NULL ROOT  ;  U ;  NULL
H विनिवेश विनिवेश NP NN NP k5 VGNN  ;  H कहा कह VGF VM VGF NULL ROOT  ;  U ;  NULL
H राजस्व राजस्व NP NN NP6 k1 VGF2  ;  H हिस्सा हिस्सा NP NN NP9 k1s VGF2  ;  U ;  NULL
H राजस्व राजस्व NP NN NP6 k1 VGF2  ;  H सरकार सरकार NP NNP NP7 r6 NP8  ;  U ;  NULL
H विनिवेश विनिवेश NP NN NP5 k5 VGNN2  ;  H होगा हो VGF VM VGF2 ccof CCP  ;  U ;  NULL
H कोष कोष NP NN NP8 r6 NP9  ;  H होगा हो VGF VM VGF2 ccof CCP  ;  U ;  NULL
H होगा हो VGF VM VGF2 ccof CCP  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H हिस्सा हिस्सा NP NN NP9 k1s VGF2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H विनिवेश विनिवेश NP NN NP k5 VGNN  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H मिलने मिल VGNN VM VGNN nmod NP2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H होगा हो VGF VM VGF2 ccof CCP  ;  U ;  NULL
ROOT  ;  H हिस्सा हिस्सा NP NN NP9 k1s VGF2  ;  U ;  NULL
