H काल काल NP NNP NP k7t VGF में ; H चुना चुन VGF VM VGF NULL ROOT NULL ; R ; k7t 
H एसोसिएशन एसोसिएशन NP NNP NP3 r6 NP4 की ; H आपत्तियों आपत्ति NP NN NP4 k2 VGF2 को ; R ; r6 
H आपत्तियों आपत्ति NP NN NP4 k2 VGF2 को ; H किया कर VGF VM VGF2 ccof CCP2 NULL ; R ; k2 
H नजरंदाज नजरंदाज NP NN NP5 pof VGF2 NULL ; H किया कर VGF VM VGF2 ccof CCP2 NULL ; R ; pof 
H किया कर VGF VM VGF2 ccof CCP2 NULL ; H और और CCP CC CCP2 ccof CCP NULL ; R ; ccof 
H कि कि CCP CC CCP k2 VGF NULL ; H और और CCP CC CCP2 ccof CCP NULL ; L ; ccof 
H इसमें यह NP PRP NP6 k7 VGF3 NULL ; H की कर VGF VM VGF3 ccof CCP2 NULL ; R ; k7 
H भूतल भूतल NP NN NP7 k7p VGNF पर ; H बनी बन VGNF VM VGNF nmod__k2inv NP8 NULL ; R ; k7p 
H बनी बन VGNF VM VGNF nmod__k2inv NP8 NULL ; H दुकानों दुकान NP NN NP8 k4 VGF3 को ; R ; nmod__k2inv 
H दुकानों दुकान NP NN NP8 k4 VGF3 को ; H की कर VGF VM VGF3 ccof CCP2 NULL ; R ; k4 
H अनुमति अनुमति NP NN NP9 k2 VGF3 NULL ; H की कर VGF VM VGF3 ccof CCP2 NULL ; R ; k2 
H प्रदान प्रदान NP NN NP10 pof VGF3 NULL ; H की कर VGF VM VGF3 ccof CCP2 NULL ; R ; pof 
H और और CCP CC CCP2 ccof CCP NULL ; H की कर VGF VM VGF3 ccof CCP2 NULL ; L ; ccof 
H बताया बता VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H प्रस्ताव प्रस्ताव NP NN NP2 k7 VGF2 पर  ;  H नजरंदाज नजरंदाज NP NN NP5 pof VGF2 NULL  ;  U ;  NULL
H प्रस्ताव प्रस्ताव NP NN NP2 k7 VGF2 पर  ;  H एसोसिएशन एसोसिएशन NP NNP NP3 r6 NP4 की  ;  U ;  NULL
H आपत्तियों आपत्ति NP NN NP4 k2 VGF2 को  ;  H नजरंदाज नजरंदाज NP NN NP5 pof VGF2 NULL  ;  U ;  NULL
H प्रस्ताव प्रस्ताव NP NN NP2 k7 VGF2 पर  ;  H और और CCP CC CCP2 ccof CCP NULL  ;  U ;  NULL
H नजरंदाज नजरंदाज NP NN NP5 pof VGF2 NULL  ;  H और और CCP CC CCP2 ccof CCP NULL  ;  U ;  NULL
H इसमें यह NP PRP NP6 k7 VGF3 NULL  ;  H प्रदान प्रदान NP NN NP10 pof VGF3 NULL  ;  U ;  NULL
H इसमें यह NP PRP NP6 k7 VGF3 NULL  ;  H भूतल भूतल NP NN NP7 k7p VGNF पर  ;  U ;  NULL
H दुकानों दुकान NP NN NP8 k4 VGF3 को  ;  H अनुमति अनुमति NP NN NP9 k2 VGF3 NULL  ;  U ;  NULL
H अनुमति अनुमति NP NN NP9 k2 VGF3 NULL  ;  H प्रदान प्रदान NP NN NP10 pof VGF3 NULL  ;  U ;  NULL
H बनी बन VGNF VM VGNF nmod__k2inv NP8 NULL  ;  H की कर VGF VM VGF3 ccof CCP2 NULL  ;  U ;  NULL
H भूतल भूतल NP NN NP7 k7p VGNF पर  ;  H की कर VGF VM VGF3 ccof CCP2 NULL  ;  U ;  NULL
H की कर VGF VM VGF3 ccof CCP2 NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H प्रदान प्रदान NP NN NP10 pof VGF3 NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H उन्होंने वह NP PRP NP k1 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H कि कि CCP CC CCP k2 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H की कर VGF VM VGF3 ccof CCP2 NULL  ;  U ;  NULL
ROOT  ;  H प्रदान प्रदान NP NN NP10 pof VGF3 NULL  ;  U ;  NULL
ROOT  ;  H उन्होंने वह NP PRP NP k1 VGF NULL  ;  U ;  NULL
ROOT  ;  H कि कि CCP CC CCP k2 VGF NULL  ;  U ;  NULL
H अधिसूचना अधिसूचना NP NN NP rh VGNF से ; H मिलती मिल VGNF VM VGNF vmod VGF NULL ; R ; rh 
H शोरूम शोरूम NP NN NP2 k4 VGNF को ; H मिलती मिल VGNF VM VGNF vmod VGF NULL ; R ; k4 
H राहत राहत NP NN NP3 pof VGNF NULL ; H मिलती मिल VGNF VM VGNF vmod VGF NULL ; R ; pof 
H मिलती मिल VGNF VM VGNF vmod VGF NULL ; H आ आ VGF VM VGF NULL ROOT NULL ; R ; vmod 
H नजर नजर NP NN NP4 pof VGF NULL ; H आ आ VGF VM VGF NULL ROOT NULL ; R ; pof 
ROOT ; H आ आ VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H आ आ VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H अधिसूचना अधिसूचना NP NN NP rh VGNF से  ;  H शोरूम शोरूम NP NN NP2 k4 VGNF को  ;  U ;  NULL
H शोरूम शोरूम NP NN NP2 k4 VGNF को  ;  H राहत राहत NP NN NP3 pof VGNF NULL  ;  U ;  NULL
H मिलती मिल VGNF VM VGNF vmod VGF NULL  ;  H नजर नजर NP NN NP4 pof VGF NULL  ;  U ;  NULL
H राहत राहत NP NN NP3 pof VGNF NULL  ;  H आ आ VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H शोरूम शोरूम NP NN NP2 k4 VGNF को  ;  H आ आ VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H अधिसूचना अधिसूचना NP NN NP rh VGNF से  ;  H आ आ VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H नजर नजर NP NN NP4 pof VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H मिलती मिल VGNF VM VGNF vmod VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H अधिसूचना अधिसूचना NP NN NP rh VGNF से  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H शोरूम शोरूम NP NN NP2 k4 VGNF को  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H नजर नजर NP NN NP4 pof VGF NULL  ;  U ;  NULL
ROOT  ;  H मिलती मिल VGNF VM VGNF vmod VGF NULL  ;  U ;  NULL
ROOT  ;  H अधिसूचना अधिसूचना NP NN NP rh VGNF से  ;  U ;  NULL
ROOT  ;  H शोरूम शोरूम NP NN NP2 k4 VGNF को  ;  U ;  NULL
H उन्होंने वह NP PRP NP k1 VGF NULL ; H कहा कह VGF VM VGF NULL ROOT NULL ; R ; k1 
ROOT ; H कहा कह VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H कहा कह VGF VM VGF NULL ROOT NULL ; H कि कि CCP CC CCP k2 VGF NULL ; L ; k2 
H न्यायालय न्यायालय NP NNP NP2 k1 VGF2 ने ; H दी दे VGF VM VGF2 ccof CCP NULL ; R ; k1 
H आदेश आदेश NP NN NP3 k7 VGF2 में ; H दी दे VGF VM VGF2 ccof CCP NULL ; R ; k7 
H दुकानदारों दुकानदार NP NN NP4 k4 VGF2 को ; H दी दे VGF VM VGF2 ccof CCP NULL ; R ; k4 
H राहत राहत NP NN NP5 k2 VGF2 NULL ; H दी दे VGF VM VGF2 ccof CCP NULL ; R ; k2 
H कि कि CCP CC CCP k2 VGF NULL ; H दी दे VGF VM VGF2 ccof CCP NULL ; L ; ccof 
H कहा कह VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H न्यायालय न्यायालय NP NNP NP2 k1 VGF2 ने  ;  H राहत राहत NP NN NP5 k2 VGF2 NULL  ;  U ;  NULL
H न्यायालय न्यायालय NP NNP NP2 k1 VGF2 ने  ;  H आदेश आदेश NP NN NP3 k7 VGF2 में  ;  U ;  NULL
H आदेश आदेश NP NN NP3 k7 VGF2 में  ;  H दुकानदारों दुकानदार NP NN NP4 k4 VGF2 को  ;  U ;  NULL
H दुकानदारों दुकानदार NP NN NP4 k4 VGF2 को  ;  H राहत राहत NP NN NP5 k2 VGF2 NULL  ;  U ;  NULL
H दी दे VGF VM VGF2 ccof CCP NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H राहत राहत NP NN NP5 k2 VGF2 NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H उन्होंने वह NP PRP NP k1 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H कि कि CCP CC CCP k2 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H दी दे VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
ROOT  ;  H राहत राहत NP NN NP5 k2 VGF2 NULL  ;  U ;  NULL
ROOT  ;  H उन्होंने वह NP PRP NP k1 VGF NULL  ;  U ;  NULL
ROOT  ;  H कि कि CCP CC CCP k2 VGF NULL  ;  U ;  NULL
H दुकानों दुकान NP NN NP k4 VGF को ; H दिया दे VGF VM VGF NULL ROOT NULL ; R ; k4 
H बंद बंद JJP JJ JJP pof VGNN NULL ; H करने कर VGNN VM VGNN r6-k2 NP2 का ; R ; pof 
H करने कर VGNN VM VGNN r6-k2 NP2 का ; H आदेश आदेश NP NN NP2 pof VGF NULL ; R ; r6-k2 
H आदेश आदेश NP NN NP2 pof VGF NULL ; H दिया दे VGF VM VGF NULL ROOT NULL ; R ; pof 
ROOT ; H दिया दे VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H दिया दे VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H दुकानों दुकान NP NN NP k4 VGF को  ;  H आदेश आदेश NP NN NP2 pof VGF NULL  ;  U ;  NULL
H दुकानों दुकान NP NN NP k4 VGF को  ;  H बंद बंद JJP JJ JJP pof VGNN NULL  ;  U ;  NULL
H करने कर VGNN VM VGNN r6-k2 NP2 का  ;  H दिया दे VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H बंद बंद JJP JJ JJP pof VGNN NULL  ;  H दिया दे VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H आदेश आदेश NP NN NP2 pof VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H करने कर VGNN VM VGNN r6-k2 NP2 का  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H दुकानों दुकान NP NN NP k4 VGF को  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H बंद बंद JJP JJ JJP pof VGNN NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H आदेश आदेश NP NN NP2 pof VGF NULL  ;  U ;  NULL
ROOT  ;  H करने कर VGNN VM VGNN r6-k2 NP2 का  ;  U ;  NULL
ROOT  ;  H दुकानों दुकान NP NN NP k4 VGF को  ;  U ;  NULL
ROOT  ;  H बंद बंद JJP JJ JJP pof VGNN NULL  ;  U ;  NULL
H इसमें यह NP PRP NP k7 VGF NULL ; H दी दे VGF VM VGF NULL ROOT NULL ; R ; k7 
H १८९ १८९ NP QC NP2 k5 VGF में ; H दी दे VGF VM VGF NULL ROOT NULL ; R ; k5 
H मार्गों मार्ग NP NN NP3 k2 VGF को ; H दी दे VGF VM VGF NULL ROOT NULL ; R ; k2 
H राहत राहत NP NN NP4 pof VGF NULL ; H दी दे VGF VM VGF NULL ROOT NULL ; R ; pof 
ROOT ; H दी दे VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H दी दे VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H इसमें यह NP PRP NP k7 VGF NULL  ;  H राहत राहत NP NN NP4 pof VGF NULL  ;  U ;  NULL
H इसमें यह NP PRP NP k7 VGF NULL  ;  H १८९ १८९ NP QC NP2 k5 VGF में  ;  U ;  NULL
H १८९ १८९ NP QC NP2 k5 VGF में  ;  H मार्गों मार्ग NP NN NP3 k2 VGF को  ;  U ;  NULL
H मार्गों मार्ग NP NN NP3 k2 VGF को  ;  H राहत राहत NP NN NP4 pof VGF NULL  ;  U ;  NULL
H राहत राहत NP NN NP4 pof VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H मार्गों मार्ग NP NN NP3 k2 VGF को  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H इसमें यह NP PRP NP k7 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H १८९ १८९ NP QC NP2 k5 VGF में  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H राहत राहत NP NN NP4 pof VGF NULL  ;  U ;  NULL
ROOT  ;  H मार्गों मार्ग NP NN NP3 k2 VGF को  ;  U ;  NULL
ROOT  ;  H इसमें यह NP PRP NP k7 VGF NULL  ;  U ;  NULL
ROOT  ;  H १८९ १८९ NP QC NP2 k5 VGF में  ;  U ;  NULL
H अधिसूचना अधिसूचना NP NN NP k7a VGF के ; H होगी हो VGF VM VGF NULL ROOT NULL ; R ; k7a 
H मीटर मीटर NP NN NP2 nmod NP3 वाली ; H रोड रोड NP NN NP3 k7p VGF पर ; R ; nmod 
H रोड रोड NP NN NP3 k7p VGF पर ; H होगी हो VGF VM VGF NULL ROOT NULL ; R ; k7p 
H गतिविधियों गतिविधि NP NN NP4 r6-k1 NP5 की ; H अनुमति अनुमति NP NN NP5 pof VGF NULL ; R ; r6-k1 
H अनुमति अनुमति NP NN NP5 pof VGF NULL ; H होगी हो VGF VM VGF NULL ROOT NULL ; R ; pof 
ROOT ; H होगी हो VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H होगी हो VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H अधिसूचना अधिसूचना NP NN NP k7a VGF के  ;  H अनुमति अनुमति NP NN NP5 pof VGF NULL  ;  U ;  NULL
H अधिसूचना अधिसूचना NP NN NP k7a VGF के  ;  H मीटर मीटर NP NN NP2 nmod NP3 वाली  ;  U ;  NULL
H रोड रोड NP NN NP3 k7p VGF पर  ;  H गतिविधियों गतिविधि NP NN NP4 r6-k1 NP5 की  ;  U ;  NULL
H गतिविधियों गतिविधि NP NN NP4 r6-k1 NP5 की  ;  H होगी हो VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H मीटर मीटर NP NN NP2 nmod NP3 वाली  ;  H होगी हो VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H अनुमति अनुमति NP NN NP5 pof VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H गतिविधियों गतिविधि NP NN NP4 r6-k1 NP5 की  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H अधिसूचना अधिसूचना NP NN NP k7a VGF के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H मीटर मीटर NP NN NP2 nmod NP3 वाली  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H अनुमति अनुमति NP NN NP5 pof VGF NULL  ;  U ;  NULL
ROOT  ;  H गतिविधियों गतिविधि NP NN NP4 r6-k1 NP5 की  ;  U ;  NULL
ROOT  ;  H अधिसूचना अधिसूचना NP NN NP k7a VGF के  ;  U ;  NULL
ROOT  ;  H मीटर मीटर NP NN NP2 nmod NP3 वाली  ;  U ;  NULL
H ट्रेडर्स ट्रेडर NP NNP NP ccof CCP NULL ; H और और CCP CC CCP ras-k1 VGF NULL ; R ; ccof 
H मोर्चा मोर्चा NP NNP NP2 ccof CCP NULL ; H और और CCP CC CCP ras-k1 VGF NULL ; R ; ccof 
H एसोसिएशन एसोसिएशन NP NNP NP3 ccof CCP NULL ; H और और CCP CC CCP ras-k1 VGF NULL ; R ; ccof 
H और और CCP CC CCP ras-k1 VGF NULL ; H किया कर VGF VM VGF NULL ROOT NULL ; R ; ras-k1 
H और और CCP CC CCP ras-k1 VGF NULL ; H एसोसिएशन एसोसिएशन NP NNP NP4 ccof CCP सहित ; L ; ccof 
H संगठनों संगठन NP NN NP5 k1 VGF ने ; H किया कर VGF VM VGF NULL ROOT NULL ; R ; k1 
H मंत्रालय मंत्रालय NP NNP NP6 k3 VGF द्वारा ; H किया कर VGF VM VGF NULL ROOT NULL ; R ; k3 
H लैंडयूज लैंडयूज NP NN NP7 r6 NP8 की ; H अधिसूचना अधिसूचना NP NN NP8 r6-k2 NP9 का ; R ; r6 
H अधिसूचना अधिसूचना NP NN NP8 r6-k2 NP9 का ; H स्वागत स्वागत NP NN NP9 pof VGF NULL ; R ; r6-k2 
H स्वागत स्वागत NP NN NP9 pof VGF NULL ; H किया कर VGF VM VGF NULL ROOT NULL ; R ; pof 
ROOT ; H किया कर VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H किया कर VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H ट्रेडर्स ट्रेडर NP NNP NP ccof CCP NULL  ;  H मोर्चा मोर्चा NP NNP NP2 ccof CCP NULL  ;  U ;  NULL
H मोर्चा मोर्चा NP NNP NP2 ccof CCP NULL  ;  H एसोसिएशन एसोसिएशन NP NNP NP3 ccof CCP NULL  ;  U ;  NULL
H और और CCP CC CCP ras-k1 VGF NULL  ;  H स्वागत स्वागत NP NN NP9 pof VGF NULL  ;  U ;  NULL
H और और CCP CC CCP ras-k1 VGF NULL  ;  H संगठनों संगठन NP NN NP5 k1 VGF ने  ;  U ;  NULL
H संगठनों संगठन NP NN NP5 k1 VGF ने  ;  H स्वागत स्वागत NP NN NP9 pof VGF NULL  ;  U ;  NULL
H संगठनों संगठन NP NN NP5 k1 VGF ने  ;  H मंत्रालय मंत्रालय NP NNP NP6 k3 VGF द्वारा  ;  U ;  NULL
H मंत्रालय मंत्रालय NP NNP NP6 k3 VGF द्वारा  ;  H स्वागत स्वागत NP NN NP9 pof VGF NULL  ;  U ;  NULL
H मंत्रालय मंत्रालय NP NNP NP6 k3 VGF द्वारा  ;  H लैंडयूज लैंडयूज NP NN NP7 r6 NP8 की  ;  U ;  NULL
H अधिसूचना अधिसूचना NP NN NP8 r6-k2 NP9 का  ;  H किया कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H लैंडयूज लैंडयूज NP NN NP7 r6 NP8 की  ;  H किया कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H ट्रेडर्स ट्रेडर NP NNP NP ccof CCP NULL  ;  H किया कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H मोर्चा मोर्चा NP NNP NP2 ccof CCP NULL  ;  H किया कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H स्वागत स्वागत NP NN NP9 pof VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H अधिसूचना अधिसूचना NP NN NP8 r6-k2 NP9 का  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H ट्रेडर्स ट्रेडर NP NNP NP ccof CCP NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H मोर्चा मोर्चा NP NNP NP2 ccof CCP NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H स्वागत स्वागत NP NN NP9 pof VGF NULL  ;  U ;  NULL
ROOT  ;  H अधिसूचना अधिसूचना NP NN NP8 r6-k2 NP9 का  ;  U ;  NULL
ROOT  ;  H ट्रेडर्स ट्रेडर NP NNP NP ccof CCP NULL  ;  U ;  NULL
ROOT  ;  H मोर्चा मोर्चा NP NNP NP2 ccof CCP NULL  ;  U ;  NULL
H संबंध संबंध NP NN NP k7 VGF में ; H कहा कह VGF VM VGF NULL ROOT NULL ; R ; k7 
H कन्फेडरेशन कन्फेडरेशन NP NNP NP2 r6 NP3 के ; H महामंत्री महामंत्री NP NN NP3 nmod NP4 NULL ; R ; r6 
H महामंत्री महामंत्री NP NN NP3 nmod NP4 NULL ; H खंडेलवाल खंडेलवाल NP NNP NP4 k1 VGF ने ; R ; nmod 
H खंडेलवाल खंडेलवाल NP NNP NP4 k1 VGF ने ; H कहा कह VGF VM VGF NULL ROOT NULL ; R ; k1 
ROOT ; H कहा कह VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H कहा कह VGF VM VGF NULL ROOT NULL ; H कि कि CCP CC CCP k2 VGF NULL ; L ; k2 
H अधिसूचना अधिसूचना NP NN NP5 k1 VGNN NULL ; H होने हो VGNN VM VGNN rh VGF2 से ; R ; k1 
H जारी जारी JJP JJ JJP pof VGNN NULL ; H होने हो VGNN VM VGNN rh VGF2 से ; R ; pof 
H होने हो VGNN VM VGNN rh VGF2 से ; H मिल मिल VGF VM VGF2 ccof CCP NULL ; R ; rh 
H हद हद NP NN NP6 k7 VGF2 तक ; H मिल मिल VGF VM VGF2 ccof CCP NULL ; R ; k7 
H व्यापारियों व्यापारी NP NN NP7 k4 VGF2 को ; H मिल मिल VGF VM VGF2 ccof CCP NULL ; R ; k4 
H राहत राहत NP NN NP8 pof VGF2 NULL ; H मिल मिल VGF VM VGF2 ccof CCP NULL ; R ; pof 
H कि कि CCP CC CCP k2 VGF NULL ; H मिल मिल VGF VM VGF2 ccof CCP NULL ; L ; ccof 
H कहा कह VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H संबंध संबंध NP NN NP k7 VGF में  ;  H खंडेलवाल खंडेलवाल NP NNP NP4 k1 VGF ने  ;  U ;  NULL
H संबंध संबंध NP NN NP k7 VGF में  ;  H कन्फेडरेशन कन्फेडरेशन NP NNP NP2 r6 NP3 के  ;  U ;  NULL
H महामंत्री महामंत्री NP NN NP3 nmod NP4 NULL  ;  H कहा कह VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H कन्फेडरेशन कन्फेडरेशन NP NNP NP2 r6 NP3 के  ;  H कहा कह VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H अधिसूचना अधिसूचना NP NN NP5 k1 VGNN NULL  ;  H जारी जारी JJP JJ JJP pof VGNN NULL  ;  U ;  NULL
H होने हो VGNN VM VGNN rh VGF2 से  ;  H राहत राहत NP NN NP8 pof VGF2 NULL  ;  U ;  NULL
H होने हो VGNN VM VGNN rh VGF2 से  ;  H हद हद NP NN NP6 k7 VGF2 तक  ;  U ;  NULL
H हद हद NP NN NP6 k7 VGF2 तक  ;  H व्यापारियों व्यापारी NP NN NP7 k4 VGF2 को  ;  U ;  NULL
H व्यापारियों व्यापारी NP NN NP7 k4 VGF2 को  ;  H राहत राहत NP NN NP8 pof VGF2 NULL  ;  U ;  NULL
H अधिसूचना अधिसूचना NP NN NP5 k1 VGNN NULL  ;  H मिल मिल VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
H जारी जारी JJP JJ JJP pof VGNN NULL  ;  H मिल मिल VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
H मिल मिल VGF VM VGF2 ccof CCP NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H राहत राहत NP NN NP8 pof VGF2 NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H संबंध संबंध NP NN NP k7 VGF में  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H कन्फेडरेशन कन्फेडरेशन NP NNP NP2 r6 NP3 के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H मिल मिल VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
ROOT  ;  H राहत राहत NP NN NP8 pof VGF2 NULL  ;  U ;  NULL
ROOT  ;  H संबंध संबंध NP NN NP k7 VGF में  ;  U ;  NULL
ROOT  ;  H कन्फेडरेशन कन्फेडरेशन NP NNP NP2 r6 NP3 के  ;  U ;  NULL
H सरकार सरकार NP NN NP k1 VGF ने ; H की कर VGF VM VGF NULL ROOT NULL ; R ; k1 
H ०४ ०४ NP NNP NP2 r6 NP3 के ; H करोड़ करोड NP QC NP3 r6 NP4 के ; R ; r6 
H करोड़ करोड NP QC NP3 r6 NP4 के ; H लक्ष्य लक्ष्य NP NN NP4 k7 VGF में ; R ; r6 
H लक्ष्य लक्ष्य NP NN NP4 k7 VGF में ; H की कर VGF VM VGF NULL ROOT NULL ; R ; k7 
H करोड़ करोड NP QC NP5 r6-k2 NP6 की ; H कटौती कटौती NP NN NP6 pof VGF NULL ; R ; r6-k2 
H कटौती कटौती NP NN NP6 pof VGF NULL ; H की कर VGF VM VGF NULL ROOT NULL ; R ; pof 
ROOT ; H की कर VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H की कर VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H सरकार सरकार NP NN NP k1 VGF ने  ;  H कटौती कटौती NP NN NP6 pof VGF NULL  ;  U ;  NULL
H सरकार सरकार NP NN NP k1 VGF ने  ;  H ०४ ०४ NP NNP NP2 r6 NP3 के  ;  U ;  NULL
H लक्ष्य लक्ष्य NP NN NP4 k7 VGF में  ;  H करोड़ करोड NP QC NP5 r6-k2 NP6 की  ;  U ;  NULL
H करोड़ करोड NP QC NP5 r6-k2 NP6 की  ;  H की कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H करोड़ करोड NP QC NP3 r6 NP4 के  ;  H की कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H ०४ ०४ NP NNP NP2 r6 NP3 के  ;  H की कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H कटौती कटौती NP NN NP6 pof VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H करोड़ करोड NP QC NP5 r6-k2 NP6 की  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H सरकार सरकार NP NN NP k1 VGF ने  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H ०४ ०४ NP NNP NP2 r6 NP3 के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H कटौती कटौती NP NN NP6 pof VGF NULL  ;  U ;  NULL
ROOT  ;  H करोड़ करोड NP QC NP5 r6-k2 NP6 की  ;  U ;  NULL
ROOT  ;  H सरकार सरकार NP NN NP k1 VGF ने  ;  U ;  NULL
ROOT  ;  H ०४ ०४ NP NNP NP2 r6 NP3 के  ;  U ;  NULL
H चिदंबरम चिदंबरम NP NNP NP k1 VGF ने ; H कहा कह VGF VM VGF NULL ROOT NULL ; R ; k1 
H बृहस्पतिवार बृहस्पतिवार NP NNP NP2 k7t VGF को ; H कहा कह VGF VM VGF NULL ROOT NULL ; R ; k7t 
H अपने अपना NP PRP NP3 r6 NP4 NULL ; H भाषण भाषण NP NN NP4 k7 VGF में ; R ; r6 
H भाषण भाषण NP NN NP4 k7 VGF में ; H कहा कह VGF VM VGF NULL ROOT NULL ; R ; k7 
ROOT ; H कहा कह VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H कहा कह VGF VM VGF NULL ROOT NULL ; H कि कि CCP CC CCP k2 VGF NULL ; L ; k2 
H विनिवेश विनिवेश NP NN NP5 ccof CCP2 NULL ; H और और CCP CC CCP2 k1 VGF2 NULL ; R ; ccof 
H और और CCP CC CCP2 k1 VGF2 NULL ; H हैं है VGF VM VGF2 ccof CCP NULL ; R ; k1 
H और और CCP CC CCP2 k1 VGF2 NULL ; H निजीकरण निजीकरण NP NN NP6 ccof CCP2 NULL ; L ; ccof 
